cohort_id,cohort_name,month_id,active_users,retention_rate
1,January users,1,512,100.0
1,January users,2,487,95.1
1,January users,3,436,85.2
1,January users,4,362,70.7
1,January users,5,303,59.2
1,January users,6,230,44.9
1,January users,7,78,15.2
1,January users,8,10,2.0
1,January users,9,0,0.0
2,February users,2,640,100.0
2,February users,3,612,95.6
2,February users,4,554,86.6
2,February users,5,467,73.0
2,February users,6,374,58.4
2,February users,7,150,23.4
2,February users,8,30,4.7
2,February users,9,1,0.2
3,March users,3,731,100.0
3,March users,4,691,94.5
3,March users,5,623,85.2
3,March users,6,518,70.9
3,March users,7,205,28.0
3,March users,8,44,6.0
3,March users,9,4,0.5
4,April users,4,799,100.0
4,April users,5,754,94.4
4,April users,6,673,84.2
4,April users,7,261,32.7
4,April users,8,24,3.0
4,April users,9,2,0.3
5,May users,5,872,100.0
5,May users,6,773,88.6
5,May users,7,622,71.3
5,May users,8,521,59.7
5,May users,9,256,29.4
6,June users,6,941,100.0
6,June users,7,836,88.8
6,June users,8,587,62.4
6,June users,9,289,30.7
7,July users,7,1016,100.0
7,July users,8,858,84.4
7,July users,9,693,68.2
8,August users,8,1131,100.0
8,August users,9,897,79.3
9,September users,9,1226,100.0
