week,seller_id,product_id,qty,logistic_costs
2023-01-02,0,1_1,56,1734
2023-01-02,1,1_1,43,1683
2023-01-02,2,1_1,37,1938
2023-01-02,3,1_1,35,2958
2023-01-02,4,1_1,32,2244
2023-01-02,0,1_2,57,2652
2023-01-02,1,1_2,47,1976
2023-01-02,2,1_2,37,2288
2023-01-02,3,1_2,35,1768
2023-01-02,4,1_2,32,2756
2023-01-02,0,1_3,58,2385
2023-01-02,1,1_3,43,2014
2023-01-02,2,1_3,37,2173
2023-01-02,3,1_3,37,1855
2023-01-02,4,1_3,34,2120
2023-01-02,0,1_4,62,2912
2023-01-02,1,1_4,47,2856
2023-01-02,2,1_4,40,2688
2023-01-02,3,1_4,38,2576
2023-01-02,4,1_4,35,3192
2023-01-02,0,1_5,55,2400
2023-01-02,1,1_5,45,2400
2023-01-02,2,1_5,37,1900
2023-01-02,3,1_5,33,1750
2023-01-02,4,1_5,32,1700
2023-01-02,0,1_6,61,3080
2023-01-02,1,1_6,46,2530
2023-01-02,2,1_6,39,2695
2023-01-02,3,1_6,38,2860
2023-01-02,4,1_6,35,2530
2023-01-02,0,1_7,61,2035
2023-01-02,1,1_7,49,2420
2023-01-02,2,1_7,41,2365
2023-01-02,3,1_7,36,2090
2023-01-02,4,1_7,36,2805
2023-01-02,0,1_8,59,2592
2023-01-02,1,1_8,45,1782
2023-01-02,2,1_8,40,2052
2023-01-02,3,1_8,37,1890
2023-01-02,4,1_8,33,3024
2023-01-02,0,1_9,65,2301
2023-01-02,1,1_9,49,1947
2023-01-02,2,1_9,43,2655
2023-01-02,3,1_9,41,2655
2023-01-02,4,1_9,37,2006
2023-01-02,0,1_10,56,2040
2023-01-02,1,1_10,43,2397
2023-01-02,2,1_10,36,1530
2023-01-02,3,1_10,35,2499
2023-01-02,4,1_10,32,1683
2023-01-02,0,1_11,57,2236
2023-01-02,1,1_11,46,2288
2023-01-02,2,1_11,38,2392
2023-01-02,3,1_11,36,2600
2023-01-02,4,1_11,31,2808
2023-01-02,0,1_12,64,1914
2023-01-02,1,1_12,51,1740
2023-01-02,2,1_12,42,1972
2023-01-02,3,1_12,40,1972
2023-01-02,4,1_12,37,1798
2023-01-02,0,1_13,63,3135
2023-01-02,1,1_13,50,3420
2023-01-02,2,1_13,42,1881
2023-01-02,3,1_13,39,2337
2023-01-02,4,1_13,34,1767
2023-01-02,0,1_14,61,2860
2023-01-02,1,1_14,47,2695
2023-01-02,2,1_14,41,2090
2023-01-02,3,1_14,37,1980
2023-01-02,4,1_14,35,1705
2023-01-02,0,1_15,64,2204
2023-01-02,1,1_15,51,3364
2023-01-02,2,1_15,41,2726
2023-01-02,3,1_15,40,2842
2023-01-02,4,1_15,37,3016
2023-01-02,0,1_16,58,2544
2023-01-02,1,1_16,46,2279
2023-01-02,2,1_16,40,1643
2023-01-02,3,1_16,36,1643
2023-01-02,4,1_16,34,1802
2023-01-02,0,1_17,59,3240
2023-01-02,1,1_17,48,1836
2023-01-02,2,1_17,38,2700
2023-01-02,3,1_17,36,1728
2023-01-02,4,1_17,33,2484
2023-01-02,0,1_18,65,2950
2023-01-02,1,1_18,53,3245
2023-01-02,2,1_18,43,1770
2023-01-02,3,1_18,39,2596
2023-01-02,4,1_18,38,2832
2023-01-02,0,1_19,56,2958
2023-01-02,1,1_19,42,2295
2023-01-02,2,1_19,37,2397
2023-01-02,3,1_19,36,1836
2023-01-02,4,1_19,32,2142
2023-01-02,0,1_20,65,2301
2023-01-02,1,1_20,50,2655
2023-01-02,2,1_20,42,2065
2023-01-02,3,1_20,40,1770
2023-01-02,4,1_20,38,2950
2023-01-02,1,2_1,27,1650
2023-01-02,2,2_1,24,1386
2023-01-02,3,2_1,22,1221
2023-01-02,4,2_1,21,1254
2023-01-02,1,2_2,28,1287
2023-01-02,2,2_2,24,1683
2023-01-02,3,2_2,23,1584
2023-01-02,4,2_2,21,1386
2023-01-02,1,2_3,31,1400
2023-01-02,2,2_3,25,1155
2023-01-02,3,2_3,23,1400
2023-01-02,4,2_3,22,1890
2023-01-02,1,2_4,30,1258
2023-01-02,2,2_4,26,1961
2023-01-02,3,2_4,25,1776
2023-01-02,4,2_4,24,1665
2023-01-02,1,2_5,33,1280
2023-01-02,2,2_5,29,2280
2023-01-02,3,2_5,27,1360
2023-01-02,4,2_5,26,1600
2023-01-02,1,2_6,31,1406
2023-01-02,2,2_6,27,1824
2023-01-02,3,2_6,25,1938
2023-01-02,4,2_6,23,1672
2023-01-02,1,2_7,26,1860
2023-01-02,2,2_7,23,1798
2023-01-02,3,2_7,21,1085
2023-01-02,4,2_7,20,1209
2023-01-02,1,2_8,30,2100
2023-01-02,2,2_8,26,1435
2023-01-02,3,2_8,24,1855
2023-01-02,4,2_8,22,1890
2023-01-02,1,2_9,32,1404
2023-01-02,2,2_9,26,1584
2023-01-02,3,2_9,25,1620
2023-01-02,4,2_9,22,1692
2023-01-02,1,2_10,30,1440
2023-01-02,2,2_10,27,1656
2023-01-02,3,2_10,25,1872
2023-01-02,4,2_10,22,1872
2023-01-02,1,2_11,32,2128
2023-01-02,2,2_11,28,1558
2023-01-02,3,2_11,26,1444
2023-01-02,4,2_11,23,1444
2023-01-02,1,2_12,34,1720
2023-01-02,2,2_12,30,1960
2023-01-02,3,2_12,27,2080
2023-01-02,4,2_12,24,1360
2023-01-02,1,2_13,31,1739
2023-01-02,2,2_13,26,1702
2023-01-02,3,2_13,26,1554
2023-01-02,4,2_13,23,1887
2023-01-02,1,2_14,24,1380
2023-01-02,2,2_14,22,1080
2023-01-02,3,2_14,21,1800
2023-01-02,4,2_14,19,1320
2023-01-02,1,2_15,27,1860
2023-01-02,2,2_15,22,1488
2023-01-02,3,2_15,20,1023
2023-01-02,4,2_15,19,1829
2023-01-02,1,2_16,27,1271
2023-01-02,2,2_16,23,992
2023-01-02,3,2_16,21,961
2023-01-02,4,2_16,20,992
2023-01-02,1,2_17,32,1440
2023-01-02,2,2_17,27,1656
2023-01-02,3,2_17,23,1512
2023-01-02,4,2_17,23,1296
2023-01-02,1,2_18,31,1287
2023-01-02,2,2_18,28,1794
2023-01-02,3,2_18,27,1248
2023-01-02,4,2_18,23,2262
2023-01-02,1,2_19,32,2340
2023-01-02,2,2_19,29,1794
2023-01-02,3,2_19,26,1365
2023-01-02,4,2_19,23,1365
2023-01-02,1,2_20,28,2100
2023-01-02,2,2_20,25,1715
2023-01-02,3,2_20,23,1750
2023-01-02,4,2_20,22,1785
2023-01-02,0,3_1,59,2646
2023-01-02,1,3_1,48,3186
2023-01-02,2,3_1,40,1782
2023-01-02,3,3_1,36,2106
2023-01-02,4,3_1,33,2106
2023-01-02,0,3_2,66,3000
2023-01-02,1,3_2,50,1800
2023-01-02,2,3_2,44,3240
2023-01-02,3,3_2,39,3360
2023-01-02,4,3_2,38,2340
2023-01-02,0,3_3,61,2750
2023-01-02,1,3_3,45,2750
2023-01-02,2,3_3,39,2035
2023-01-02,3,3_3,37,1980
2023-01-02,4,3_3,34,2365
2023-01-02,0,3_4,55,1700
2023-01-02,1,3_4,41,2950
2023-01-02,2,3_4,37,1550
2023-01-02,3,3_4,34,1500
