user_id,date,amount,plan_id,subscription_start,subscription_end,payment_type
1,21/01/23,9.99,1,21/01/23,21/02/23,new
1,21/02/23,9.99,1,21/02/23,21/03/23,renewal
1,21/03/23,9.99,1,21/03/23,21/04/23,renewal
1,21/04/23,9.99,1,21/04/23,21/05/23,renewal
1,21/05/23,9.99,1,21/05/23,21/06/23,renewal
1,21/06/23,9.99,1,21/06/23,21/07/23,renewal
1,21/07/23,9.99,1,21/07/23,21/08/23,renewal
1,21/08/23,9.99,1,21/08/23,21/09/23,renewal
2,20/01/23,9.99,1,20/01/23,20/02/23,new
3,14/01/23,9.99,1,14/01/23,14/02/23,new
4,26/01/23,9.99,1,26/01/23,26/02/23,new
4,26/02/23,9.99,1,26/02/23,26/03/23,renewal
4,26/03/23,9.99,1,26/03/23,26/04/23,renewal
4,26/04/23,9.99,1,26/04/23,26/05/23,renewal
4,26/05/23,9.99,1,26/05/23,26/06/23,renewal
4,26/06/23,9.99,1,26/06/23,26/07/23,renewal
4,26/07/23,9.99,1,26/07/23,26/08/23,renewal
4,26/08/23,9.99,1,26/08/23,26/09/23,renewal
5,24/01/23,9.99,1,24/01/23,24/02/23,new
5,24/02/23,9.99,1,24/02/23,24/03/23,renewal
5,24/03/23,9.99,1,24/03/23,24/04/23,renewal
5,24/04/23,9.99,1,24/04/23,24/05/23,renewal
5,24/05/23,9.99,1,24/05/23,24/06/23,renewal
5,24/06/23,9.99,1,24/06/23,24/07/23,renewal
5,24/07/23,9.99,1,24/07/23,24/08/23,renewal
5,24/08/23,9.99,1,24/08/23,24/09/23,renewal
6,02/01/23,9.99,1,02/01/23,02/02/23,new
6,02/02/23,9.99,1,02/02/23,02/03/23,renewal
7,05/01/23,9.99,1,05/01/23,05/02/23,new
8,07/01/23,9.99,1,07/01/23,07/02/23,new
8,07/02/23,9.99,1,07/02/23,07/03/23,renewal
8,07/03/23,9.99,1,07/03/23,07/04/23,renewal
9,08/01/23,9.99,1,08/01/23,08/02/23,new
9,08/02/23,9.99,1,08/02/23,08/03/23,renewal
9,08/03/23,9.99,1,08/03/23,08/04/23,renewal
9,08/04/23,9.99,1,08/04/23,08/05/23,renewal
9,08/05/23,9.99,1,08/05/23,08/06/23,renewal
9,08/06/23,9.99,1,08/06/23,08/07/23,renewal
9,08/07/23,9.99,1,08/07/23,08/08/23,renewal
9,08/08/23,9.99,1,08/08/23,08/09/23,renewal
10,16/01/23,9.99,1,16/01/23,16/02/23,new
10,16/02/23,9.99,1,16/02/23,16/03/23,renewal
11,13/01/23,9.99,1,13/01/23,13/02/23,new
11,13/02/23,9.99,1,13/02/23,13/03/23,renewal
12,23/01/23,9.99,1,23/01/23,23/02/23,new
12,23/02/23,9.99,1,23/02/23,23/03/23,renewal
13,04/01/23,9.99,1,04/01/23,04/02/23,new
14,23/01/23,9.99,1,23/01/23,23/02/23,new
15,25/01/23,9.99,1,25/01/23,25/02/23,new
