offer,conversion_price
1,0.96
2,1.07
3,0.88
4,1.03
5,1.11
6,0.9
7,0.94
8,0.98
9,1.03
10,0.94
11,0.99
12,0.9
13,1.03
14,1.03
15,0.94
16,1.05
17,0.86
18,0.92
19,0.94
20,1.01
21,1.03
22,0.84
23,0.76
24,0.97
25,1.11
26,0.93
27,0.87
28,1.08
29,1.06
30,1.08
31,0.96
32,1.13
33,0.95
34,0.94
35,1.07
36,1.14
37,0.86
38,1.08
39,1.08
40,1.01
41,0.94
42,1.16
43,0.97
44,0.91
45,0.94
46,1.18
47,1.04
48,1.1
49,1.15
50,0.94
51,0.91
52,1.1
53,0.98
54,0.86
55,1.21
56,1.0
57,0.96
58,1.27
59,1.0
60,0.93
61,1.03
62,0.78
63,1.16
64,0.88
65,1.05
66,0.92
67,0.96
68,1.04
69,0.84
70,0.95
71,1.05
72,1.0
73,1.04
74,1.06
75,1.2
76,0.95
77,1.18
78,0.92
79,1.1
80,1.01
81,0.84
82,1.15
83,0.95
84,1.14
85,1.04
86,0.89
87,1.03
88,0.85
89,1.01
90,1.04
91,1.06
92,0.95
93,1.04
94,1.05
95,0.84
96,0.93
97,1.15
98,1.09
99,1.02
100,0.9
